Timestamp_ms,RAW_ADC,Label
9,80,Rest
19,1023,Rest
29,64,Rest
39,1023,Rest
49,62,Rest
59,1023,Rest
69,61,Rest
79,1023,Rest
89,66,Rest
99,1023,Rest
109,53,Rest
119,1023,Rest
129,58,Rest
139,1023,Rest
149,49,Rest
159,1023,Rest
169,41,Rest
179,1023,Rest
189,40,Rest
199,1023,Rest
209,58,Rest
219,1023,Rest
229,50,Rest
239,1023,Rest
249,57,Rest
259,1023,Rest
269,39,Rest
279,1023,Rest
289,42,Rest
299,1023,Rest
309,45,Rest
319,1023,Rest
329,49,Rest
339,945,Rest
349,40,Rest
359,923,Rest
369,40,Rest
379,742,Rest
389,39,Rest
399,548,Rest
409,33,Rest
419,554,Rest
429,34,Rest
439,453,Rest
449,31,Rest
459,396,Rest
468,31,Rest
479,456,Rest
489,30,Rest
499,344,Rest
509,26,Rest
519,288,Rest
529,23,Rest
539,295,Rest
549,22,Rest
559,386,Rest
569,25,Rest
579,344,Rest
589,21,Rest
599,299,Rest
609,18,Rest
619,238,Rest
629,16,Rest
640,253,Rest
649,17,Rest
659,218,Rest
669,18,Rest
679,207,Rest
689,18,Rest
699,274,Rest
709,26,Rest
719,205,Rest
729,26,Rest
739,211,Rest
749,29,Rest
759,159,Rest
769,32,Rest
779,153,Rest
789,33,Rest
799,173,Rest
809,30,Rest
819,117,Rest
829,1023,Rest
839,148,Rest
849,1023,Rest
859,134,Rest
869,1023,Rest
879,110,Rest
889,1023,Rest
899,132,Rest
909,1023,Rest
919,111,Rest
929,1023,Rest
939,124,Rest
949,1023,Rest
959,161,Rest
969,1023,Rest
979,81,Rest
989,1023,Rest
999,91,Rest
1009,1023,Rest
1019,114,Rest
1029,1023,Rest
1039,99,Rest
1049,1023,Rest
1059,60,Rest
1069,996,Rest
1079,80,Rest
1089,1023,Rest
1099,64,Rest
1108,1023,Rest
1119,67,Rest
1129,1023,Rest
1139,58,Rest
1149,1023,Rest
1159,63,Rest
1169,1023,Rest
1179,61,Rest
1189,1023,Rest
1199,72,Rest
1209,1023,Rest
1219,48,Rest
1229,1023,Rest
1239,46,Rest
1249,1023,Rest
1259,43,Rest
1269,1023,Rest
1280,43,Rest
1289,1023,Rest
1299,36,Rest
1309,1023,Rest
1319,35,Rest
1329,1023,Rest
1339,46,Rest
1349,1023,Rest
1359,30,Rest
1369,1023,Rest
1379,32,Rest
1389,985,Rest
1399,29,Rest
1409,906,Rest
1419,26,Rest
1429,1023,Rest
1439,38,Rest
1449,1023,Rest
1459,35,Rest
1469,1005,Rest
1479,28,Rest
1489,683,Rest
1499,19,Rest
1509,1023,Rest
1519,38,Rest
1529,940,Rest
